Maternal Mortality Change,Maternal Mortality,Malaria Cases Change,Malaria Cases,Neonatal Mortality Change,Neonatal Mortality,GDP Change,GDP per capita,Pupil Teacher Ratio,Pupil Teacher Ratio Change,Tuberculosis Incidents Change,Tuberculosis Incidents,Country,Measles Vaccine,Measles Vaccines,Hib3 Immunizations %,Hib3 Immunizations,Water Services,Water Services Access
-5,No change,,,0,No change,29.74678794,Increase,Decrease,-3,0,No change,ALB,-3,Decrease,-1,Stayed the same,3.209084848,Increased
,,,,0,No change,-2512.245146,Significant decrease,Decrease,-7,-4,No change,AND,-2,Stayed the same,0,Stayed the same,3.39E-06,Stayed the same
-1,No change,,,-1,Decrease,2148.360401,Significant increase,Decrease,-16,-5,No change,ATG,-10,Significant Decrease,-6,Decrease,-0.349518207,Decreased
1,No change,,,-1,Decrease,-2050.99414,Significant decrease,,,0,No change,AUS,1,Stayed the same,2,Increase,0.085352231,Stayed the same
0,No change,,,0,No change,-1620.238181,Significant decrease,Stayed the same,-1,-1,No change,AUT,15,Significant Increase,1,Stayed the same,0,Stayed the same
-1,No change,,,0,No change,-2129.778241,Significant decrease,,,-1,No change,BEL,1,Stayed the same,-1,Stayed the same,,
-56,Significant decrease,,,-3,Decrease,30.64983227,Increase,,,-9,Decrease,BEN,0,Stayed the same,0,Stayed the same,,
-2,No change,,,-1,Decrease,626.1886885,Increase,Stayed the same,1,-14,Decrease,BGR,-5,Decrease,1,Stayed the same,-0.249617745,Decreased
-3,No change,,,0,No change,1896.979383,Significant increase,Increase,11,-11,Decrease,BHR,0,Stayed the same,0,Stayed the same,0.001121491,Stayed the same
-6,Moderate decrease,,,-2,Decrease,3145.427344,Significant increase,,,17,Increase,BHS,-5,Decrease,-4,Decrease,,
-1,No change,,,-1,Decrease,359.1653611,Increase,Increase,9,-12,Decrease,BIH,-23,Significant Decrease,-14,Significant Decrease,-0.518233042,Decreased
-2,No change,,,0,No change,-1158.773272,Decrease,,,-26,Decrease,BLR,-1,Stayed the same,,,,
-6,Moderate decrease,,,-2,Decrease,880.7892055,Increase,Increase,22,-1,No change,BRB,7,Significant Increase,11,Significant Increase,0.060008514,Stayed the same
3,Increase,,,0,No change,-8111.729697,Significant decrease,Increase,10,-4,No change,BRN,4,Increase,4,Increase,0,Stayed the same
,,,,-4,Decrease,-86.02714493,Decrease,,,0,No change,CAF,-4,Decrease,2,Increase,-1.67855992,Decreased
-1,No change,,,0,No change,5566.418795,Significant increase,Increase,8,0,No change,CHE,2,Increase,0,Stayed the same,-3.12E-06,Stayed the same
-7,Moderate decrease,,,0,No change,940.0530769,Increase,Decrease,-23,0,No change,CHL,0,Stayed the same,3,Increase,1.216022089,Increased
-7,Moderate decrease,,,-3,Decrease,3528.336879,Significant increase,Decrease,-3,-13,Decrease,CHN,0,Stayed the same,,,3.819278578,Increased
-59,Significant decrease,,,-2,Decrease,78.14212556,Increase,Increase,24,-57,Significant decrease,CMR,-1,Stayed the same,1,Stayed the same,-0.092875605,Decreased
-109,Significant decrease,,,-2,Decrease,-995.6315391,Decrease,,,-8,Decrease,COG,-8,Significant Decrease,-3,Decrease,,
,,,,-2,Decrease,,,,,13,Increase,COK,-9,Significant Decrease,0,Stayed the same,,
-4,No change,,,-1,Decrease,2330.441112,Significant increase,Stayed the same,0,-1,No change,CUB,0,Stayed the same,3,Increase,0.818020697,Stayed the same
-2,No change,,,0,No change,-6799.342058,Significant decrease,Decrease,-10,0,No change,CYP,3,Increase,0,Stayed the same,-0.147950649,Decreased
0,No change,,,0,No change,-1344.684516,Decrease,,,-1,No change,CZE,0,Stayed the same,-3,Decrease,,
-1,No change,,,0,No change,566.9862475,Increase,Stayed the same,-1,2,No change,DEU,0,Stayed the same,-1,Stayed the same,0,Stayed the same
,,,,10,Increase,1113.723393,Significant increase,,,-5,No change,DMA,-3,Decrease,1,Stayed the same,,
-1,No change,,,0,No change,-3377.400064,Significant decrease,,,-1,No change,DNK,9,Significant Increase,4,Increase,,
0,No change,,,0,No change,-3997.09538,Significant decrease,Stayed the same,1,-5,No change,ESP,2,Increase,0,Stayed the same,-0.073496526,Decreased
0,No change,,,-1,Decrease,3452.914763,Significant increase,,,-9,Decrease,EST,-2,Stayed the same,-1,Stayed the same,,
-1,No change,,,-1,Decrease,-2682.533166,Significant decrease,,,-2,No change,FIN,-4,Decrease,-7,Decrease,,
